"i","result_index"
2,7.42980701856462
3,-131259.606921079
4,-57361.0773766322
5,-31530.1021812722
6,-19733.8739505181
7,-44968.2547336699
8,-63404.3192366513
9,-45163.7914138282
10,-23025.1700790717
11,-26695.5256570822
12,-21795.4688075402
13,-18371.3490109076
14,-18483.0743423185
15,-28267.4011012541
16,-22650.0970594008
17,-22484.6359363601
18,-13594.5407386929
19,-14677.0367124538
20,-14856.5377806496
21,-18106.639765042
22,-21757.7287508439
23,-19661.4753418671
24,-17541.8204091503
25,-21330.1039864752
26,-11668.4537165013
27,-15869.1918692273
28,-25742.3326998678
29,-16139.6228373944
30,-20773.0016229009
31,-19972.5504293195
32,-16511.1222906775
33,-21912.0887153879
34,-13136.4189030182
35,-18432.5708279699
36,-16684.4719092158
37,-15433.4162131885
38,-20763.4917004547
39,-23724.7805370266
40,-16749.9675825918
41,-15271.11107896
