"i","result_index"
2,7.43465040169829
3,-130882.844741778
4,-57405.1607658571
5,-31613.3102387966
6,-19839.7550251236
7,-95809.8112100532
8,-28337.2767891844
9,-19508.8253758247
10,-34179.0094304779
11,-35951.6958976406
12,-30130.4444219546
13,-18473.7972861892
14,-32718.6635411368
15,-14308.2651454438
16,-25875.9179538911
17,-15542.0069702703
18,-21305.3471154932
19,-22506.6362854216
20,-22086.373351337
21,-12661.0496271454
22,-27443.1884989032
23,-15471.746821987
24,-45884.4415565998
25,-20702.1788708041
26,-18962.8625429559
27,-25123.9277809115
28,-23651.0528398889
29,-19812.0000854289
30,-15574.9007130563
31,-21125.8651985198
32,-16669.7955188292
33,-19507.8021170052
34,-15881.5563836143
35,-16260.8624735321
36,-20979.6261145686
37,-17205.1055955475
38,-21950.7035593939
39,-12383.7006905512
40,-23478.7841900873
41,-22087.3884742832
42,-19878.8985612984
