"i","result_index"
2,0.901642328420712
3,-0.0412999840508364
4,0.25550857940261
5,0.448508131718577
6,0.348551244967712
7,0.385230605614314
8,-0.675252016083494
9,0.42808212261925
10,-0.0239694930469305
11,0.0754778695633659
12,0.0750202381054851
13,-0.2200714031487
14,-0.123854971577031
15,0.0407967362045209
16,-0.221329531774738
17,-0.222316733943357
18,-0.690944345566903
19,-0.00943367947239759
20,-0.429415444300101
21,-0.0840121895592291
22,-0.563261521644816
23,-0.310952655213222
24,-0.314120718717183
25,-0.0232739348635875
26,-0.16633575623351
27,-0.705153271905087
28,0.101026696648955
29,-0.347345582884017
30,0.14387083254046
31,-0.28453120529908
32,0.0832590397439932
33,0.0276965892719163
34,0.13260369686055
35,-0.24396170174574
36,-0.1275029502009
37,-0.183810308851622
38,0.205059248319274
39,-0.254890072861271
40,-0.194477199043862
41,0.232866423712716
42,-0.23937484742641
