"i","result_index"
2,1523.28353683865
3,9.43759798957343e+28
4,5.46562191968492e+21
5,3036393.51899212
6,5.37086988429989e+25
7,2386872534.58705
8,7.28022540065422e+22
9,1.82653100514623e+21
10,1.30603710813854e+28
11,141262449887375712
12,Inf
13,Inf
14,Inf
15,Inf
16,Inf
17,Inf
18,Inf
19,2.23240952013718e+27
20,Inf
21,Inf
22,795985856900.705
23,3.28636561583325e+26
24,8.14944116842471e+28
25,Inf
26,Inf
27,Inf
28,Inf
29,Inf
30,Inf
31,Inf
32,Inf
33,68585035491823648778
34,1.30034460447848e+22
35,Inf
36,3.86145370490727e+26
37,4.47775032533092e+23
38,1.76929218367612e+26
39,Inf
40,1.03578753029196e+22
41,Inf
42,240628654081295584
